source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2024,StGB  ,StGB § 261 Abs. 5 Besonders schwere Fälle der Geldwäsche ,198.0,177.0,0.8939393939393939,89.39393939393939
2024,StGB  ,StGB § 261 Abs. 6 Leichtfertige Geldwäsche ,1725.0,1515.0,0.8782608695652174,87.82608695652175
2024,StGB  ,StGB § 261 Abs. 7 i.V.m. § 261 Abs. 1 bis 6 Geldwäsche ,6.0,4.0,0.6666666666666666,66.66666666666666
2024,StGB  ,StGB § 261 Abs. 9 i.V.m. § 261 Abs. 1 bis 6 Geldwäsche ,4.0,4.0,1.0,100.0
2024,StGB  ,StGB § 263 Abs. 1 Betrug ,62117.0,49866.0,0.8027754076983756,80.27754076983756
2024,StGB  ,StGB § 263 Abs. 3 und 5 Schwerwiegende Fälle des Betruges ,6536.0,5460.0,0.8353733170134638,83.53733170134639
2024,StGB  ,StGB § 263 a Computerbetrug ,3175.0,2384.0,0.7508661417322835,75.08661417322836
2024,StGB  ,StGB § 264 Subventionsbetrug ,1281.0,893.0,0.697111631537861,69.7111631537861
2024,StGB  ,StGB § 264 a Kapitalanlagebetrug ,6.0,2.0,0.3333333333333333,33.33333333333333
2024,StGB  ,StGB § 265 Versicherungsmissbrauch ,72.0,58.0,0.8055555555555556,80.55555555555556
2024,StGB  ,StGB § 265 a Erschleichen von Leistungen ,26707.0,23451.0,0.8780843973490097,87.80843973490097
2024,StGB  ,StGB § 265 b Kreditbetrug ,6.0,4.0,0.6666666666666666,66.66666666666666
2024,StGB  ,StGB § 266 Untreue ,763.0,455.0,0.5963302752293578,59.63302752293578
2024,StGB  ,StGB § 266 a Abs. 1 Vorenthalten von Arbeitnehmerbeiträgen durch den Arbeitgeber,4752.0,3971.0,0.8356481481481481,83.56481481481481
2024,StGB  ,StGB § 266 a Abs. 2 Vorenthalten von Arbeitgeberbeiträgen durch den Arbeitgeber,32.0,28.0,0.875,87.5
2024,StGB  ,StGB § 266 a Abs. 3 Veruntreuen von Arbeitsentgelt durch den Arbeitgeber,8.0,4.0,0.5,50.0
2024,StGB  ,StGB § 266 a Abs. 4 Vorenthalten von Beiträgen durch den Arbeitgeber in besonders schweren Fällen,67.0,62.0,0.9253731343283582,92.53731343283582
2024,StGB  ,StGB § 266 b Missbrauch von Scheck- und Kreditkarten ,8.0,3.0,0.375,37.5
2024,StGB  ,StGB § 267 Abs. 1 Urkundenfälschung ,20149.0,17288.0,0.8580078415802274,85.80078415802274
2024,StGB  ,StGB § 267 Abs. 3 und 4 Schwerwiegende Fälle der Urkundenfälschung ,290.0,236.0,0.8137931034482758,81.37931034482759
2024,StGB  ,StGB § 268 Fälschung technischer Aufzeichnungen ,63.0,57.0,0.9047619047619048,90.47619047619048
2024,StGB  ,StGB § 269 Fälschung beweiserheblicher Daten ,1590.0,1314.0,0.8264150943396227,82.64150943396227
2024,StGB  ,StGB § 271 Mittelbare Falschbeurkundung ,174.0,127.0,0.7298850574712644,72.98850574712644
2024,StGB  ,StGB § 273 Verändern von amtlichen Ausweisen ,129.0,114.0,0.8837209302325582,88.37209302325581
2024,StGB  ,"StGB § 274 Urkundenunterdrückung, Veränderung einer Grenzbezeichnung",194.0,149.0,0.7680412371134021,76.80412371134021
2024,StGB  ,StGB § 275 Vorbereitung d. Fälschung v. amtl. Ausweisen Vorber. der Herst. v. unricht. Impfausweisen,93.0,71.0,0.7634408602150538,76.34408602150538
2024,StGB  ,StGB § 276 Verschaffen von falschen amtlichen Ausweisen,1065.0,962.0,0.9032863849765258,90.32863849765258
2024,StGB  ,StGB § 276 a i.V.m. § 276 Verschaffen von falschen aufenthaltsrechtlichen oder Fahrzeugpapieren,14.0,14.0,1.0,100.0
2024,StGB  ,StGB § 281 Missbrauch von Ausweispapieren ,921.0,825.0,0.8957654723127035,89.57654723127035
2024,StGB  ,StGB § 283 Bankrott ,943.0,757.0,0.8027571580063627,80.27571580063628
2024,StGB  ,StGB § 283 a Besonders schwerer Fall des Bankrotts ,3.0,2.0,0.6666666666666666,66.66666666666666
2024,StGB  ,StGB § 283 b Verletzung der Buchführungspflicht ,221.0,191.0,0.8642533936651584,86.42533936651584
2024,StGB  ,StGB § 283 c Gläubigerbegünstigung ,5.0,5.0,1.0,100.0
2024,StGB  ,StGB § 283 d Schuldnerbegünstigung ,14.0,5.0,0.35714285714285715,35.714285714285715
2024,StGB  ,"StGB § 284 Abs. 1 und 4, § 287 Unerlaubte Veranstaltung eines Glücksspiels, einer Lotterie oder einer Ausspielung",229.0,139.0,0.6069868995633187,60.698689956331876
2024,StGB  ,StGB § 284 Abs. 3 Unerlaubte Veranstaltung e. gewerbsmäßigen oder bandenmäßigen Glücksspiels,155.0,113.0,0.7290322580645161,72.90322580645162
2024,StGB  ,StGB § 285 Beteiligung am unerlaubten Glücksspiel ,189.0,122.0,0.6455026455026455,64.55026455026454
2024,StGB  ,StGB § 291 Abs. 1 Satz 1 Nr. 1 Mietwucher ,10.0,1.0,0.1,10.0
2024,StGB  ,StGB § 291 Abs. 1 Satz 1 Nrn. 3 und 4 Sonstiger Wucher ,20.0,8.0,0.4,40.0
2024,StGB  ,StGB § 291 Abs. 2 Besonders schwere Fälle des Wuchers ,9.0,3.0,0.3333333333333333,33.33333333333333
2024,StGB  ,StGB § 292 Jagdwilderei ,25.0,18.0,0.72,72.0
2024,StGB  ,StGB § 293 Fischwilderei ,334.0,298.0,0.8922155688622755,89.22155688622755
2024,StGB  ,StGB § 298 Wettbewerbsbeschränkende Absprachen bei Ausschreibungen,6.0,3.0,0.5,50.0
