Statistik,Gebiet,Jahr,Straftat_Gesetz,Art_der_Straftat,Staatsangehoerigkeit,Geschlecht,Wert_Anzahl,source_year,source_file
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 85 Verstoß gegen ein Vereinigungsverbot,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Männer,643,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Männer,568,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Männer,75,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Frauen,57,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Frauen,48,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Frauen,9,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,insgesamt,700,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,insgesamt,616,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 Verbreiten von Propagandamitteln verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,insgesamt,84,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Männer,1204,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Männer,1104,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Männer,100,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,Frauen,111,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,Frauen,106,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,Frauen,5,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte insgesamt,insgesamt,1315,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Deutsche,insgesamt,1210,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 86 a Verwenden von Kennzeichen verfassungs- widriger und terroristischer Organisationen,Verurteilte Ausländer,insgesamt,105,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 87 Agententätigkeit zu Sabotagezwecken,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 88 Verfassungsfeindliche Sabotage,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 Verfassungsfeindliche Einwirkung auf Bundeswehr und oeffentliche Sicherheitsorgane,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,Männer,7,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,Männer,6,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,Männer,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,Frauen,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,Frauen,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,insgesamt,8,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,insgesamt,7,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 a Vorbereitung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,insgesamt,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte insgesamt,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Deutsche,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 b Aufnahme von Beziehungen zur Begehung einer schweren staatsgefährdenden Gewalttat,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte insgesamt,Männer,6,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Deutsche,Männer,6,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Ausländer,Männer,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte insgesamt,insgesamt,6,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Deutsche,insgesamt,6,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 89 c Terrorismusfinanzierung ,Verurteilte Ausländer,insgesamt,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte insgesamt,Männer,5,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte Deutsche,Männer,4,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte Ausländer,Männer,1,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte insgesamt,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte Deutsche,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte Ausländer,Frauen,-,2022,bund-2022.xlsx
Strafverfolgungsstatistik,Deutschland insgesamt,2022,StGB  ,StGB § 90 a Verunglimpfung des Staates und seiner Symbole,Verurteilte insgesamt,insgesamt,5,2022,bund-2022.xlsx
